formula_id,domain,target_field,documented_formula,required_inputs,evidence_source,interpretation,ambiguity,row_count,stored_value_count,calculable_row_count,exact_match_count,tolerance_match_count,mismatch_count,missing_input_row_count,stored_missing_with_inputs_count,missing_required_columns,maximum_absolute_difference,mismatch_source_rows,status,notes
RW-FORM-DMI-003,DMI,DMIindex,120 / NDF feeds,NDF feeds,Metadata.xlsx,DOCUMENTED,YES,96,96,96,96,0,0,0,0,,4.983167212202488e-10,,FULLY_REPRODUCIBLE,The NDF unit remains disputed between metadata and values.
RW-FORM-DMI-004,DMI,DMI gap,DMIR kg - DMIcapacity (kgDM),DMIR kg; DMIcapacity (kgDM),Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,YES,96,96,96,76,20,0,0,0,,5.000001301880275e-09,,REPRODUCIBLE_WITH_TOLERANCE,The arithmetic is reproducible but inherits DMIcapacity ambiguity.
RW-FORM-DMI-005,DMI,%gapDMI,DMI gap * 100 / DMIR kg,DMI gap; DMIR kg,Stored values and metadata,DOCUMENTED,YES,96,96,96,19,77,0,0,0,,2.0408158718510094e-08,,REPRODUCIBLE_WITH_TOLERANCE,Inherits the unresolved DMIcapacity interpretation.
RW-FORM-WATER-001,WATER,waterrequi.,12.3 + 2.15 * DMIR kg + 0.73 * potentialmilk,DMIR kg; potentialmilk,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,YES,96,89,96,6,60,23,0,7,,18.127499999999998,41; 42; 80; 82; 83; 84; 85; 86; 87; 88; 90; 91; 92; 93; 96; 97; 99; 100; 101; 102; 104; 105; 106,PARTIALLY_REPRODUCIBLE,"The formula is documented, but stored values are missing or mismatched for a subset of rows."
RW-FORM-WATER-002,WATER,gapwater,waterrequi. - waterday,waterrequi.; waterday,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,89,89,19,69,1,7,0,,2.0007500000000036,77,PARTIALLY_REPRODUCIBLE,Repository language identifies waterday as water provided.
RW-FORM-WATER-003,WATER,%watergap,gapwater * 100 / waterrequi.,gapwater; waterrequi.,Metadata.xlsx,DOCUMENTED,NO,96,89,89,25,64,0,7,0,,4.977671608230594e-09,,PARTIALLY_REPRODUCIBLE,
RW-FORM-CP-001,PROTEIN,Protein/content/gr/kg,%Protein * 10,%Protein,Stored values and unit relationship,DOCUMENTED,NO,96,87,87,87,0,0,9,0,,2.842170943040401e-14,,PARTIALLY_REPRODUCIBLE,
RW-FORM-CP-002,PROTEIN,Cpintakeingr,Protein/content/gr/kg * DMIcapacity (kgDM),Protein/content/gr/kg; DMIcapacity (kgDM),Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,YES,96,87,87,2,85,0,9,0,,9.079999472305644e-07,,PARTIALLY_REPRODUCIBLE,Reproducibility inherits the DMIcapacity target ambiguity.
RW-FORM-CP-003,PROTEIN,CPmaint=6.27*MW,6.27 * MW,MW,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,96,96,0,96,0,0,0,,3.2399987048847834e-07,,REPRODUCIBLE_WITH_TOLERANCE,
RW-FORM-CP-004,PROTEIN,CPmilk,82 * potentialmilk,potentialmilk,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,96,96,74,0,22,0,0,,820.0,41; 42; 43; 45; 50; 59; 68; 74; 78; 80; 81; 82; 84; 85; 88; 90; 94; 98; 99; 101; 102; 103,PARTIALLY_REPRODUCIBLE,A subset of stored rows use values inconsistent with this formula.
RW-FORM-CP-005,PROTEIN,TotalreqCP,CPmaint=6.27*MW + CPmilk,CPmaint=6.27*MW; CPmilk,Metadata.xlsx,DOCUMENTED,NO,96,96,96,8,88,0,0,0,,5.000001692678779e-07,,REPRODUCIBLE_WITH_TOLERANCE,
RW-FORM-CP-006A,PROTEIN,gapCP,TotalreqCP - Cpintakeingr,TotalreqCP; Cpintakeingr,Mendeley reproduction notes and stored values,REPOSITORY_FORMULA,YES,96,96,87,9,78,0,9,0,,9.99999883788405e-07,,PARTIALLY_REPRODUCIBLE,Reproduces stored values where CP intake is available.
RW-FORM-CP-006B,PROTEIN,gapCP,TotalreqCP - CPmaint=6.27*MW,TotalreqCP; CPmaint=6.27*MW,Metadata.xlsx wording,METADATA_FORMULA,YES,96,96,96,0,0,96,0,0,,2415.4257606,12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; 101; 102; 103; 104; 105; 106; 107,NOT_REPRODUCIBLE_CONFLICT,Conflicts with repository notes and stored values.
RW-FORM-CP-007,PROTEIN,%CP gap,gapCP * 100 / TotalreqCP,gapCP; TotalreqCP,Metadata.xlsx,DOCUMENTED,NO,96,87,96,6,81,0,0,9,,3.711448925969307e-08,,PARTIALLY_REPRODUCIBLE,
RW-FORM-ME-001,ENERGY,MEfeeds,2.2 + 0.136 * G24 + 0.057 * CP + 0.0029 * CP**2,G24; %Protein,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,YES,96,78,0,0,0,0,96,0,G24,,,NOT_REPRODUCIBLE_MISSING_INPUT,G24 gas volume is not present in the supplied workbook; CP basis within this equation also requires confirmation.
RW-FORM-ME-002,ENERGY,MEIntake,MEfeeds * DMIcapacity (kgDM),MEfeeds; DMIcapacity (kgDM),Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,YES,96,78,78,12,66,0,18,0,,7.701176230057172e-08,,PARTIALLY_REPRODUCIBLE,Reproducibility inherits DMIcapacity ambiguity.
RW-FORM-ME-003,ENERGY,MW*0.589=Energyformaintenance,MW * 0.589,MW,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,80,96,15,65,0,0,16,,2.7000005786703696e-08,,PARTIALLY_REPRODUCIBLE,
RW-FORM-ME-004,ENERGY,5.023*peakMilk,5.023 * potentialmilk,potentialmilk,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,80,96,60,0,20,0,16,,40.18400000000001,41; 42; 45; 50; 59; 74; 78; 80; 81; 82; 84; 85; 88; 90; 94; 98; 99; 101; 102; 103,PARTIALLY_REPRODUCIBLE,A subset of stored rows use values inconsistent with this formula.
RW-FORM-ME-005,ENERGY,MEmaint+peakmilk,MW*0.589=Energyformaintenance + 5.023*peakMilk,MW*0.589=Energyformaintenance; 5.023*peakMilk,Metadata.xlsx,DOCUMENTED,NO,96,80,80,11,69,0,16,0,,5.000001124244591e-08,,PARTIALLY_REPRODUCIBLE,
RW-FORM-ME-006,ENERGY,gapME,MEmaint+peakmilk - MEIntake,MEmaint+peakmilk; MEIntake,Metadata.xlsx and Mendeley reproduction notes,DOCUMENTED,NO,96,80,78,9,69,0,18,0,,5.000001124244591e-08,,PARTIALLY_REPRODUCIBLE,
RW-FORM-ME-007,ENERGY,%MEgap,gapME * 100 / MEmaint+peakmilk,gapME; MEmaint+peakmilk,Metadata.xlsx,DOCUMENTED,NO,96,80,80,3,77,0,16,0,,2.9399799927887216e-08,,PARTIALLY_REPRODUCIBLE,
