model_name,canonical_feature,dataset_column,frontend_field,backend_field,data_type,dataset_present,frontend_present,backend_present,available_at_prediction,leakage_status,missing_percentage,unique_count,proposed_role,final_decision,reason
feed_type_classifier,body_condition_score,Body_Condition_Score,bodyConditionScore,bodyConditionScore,number,true,true,true,true,SAFE,0,7,OPTIONAL_FEATURE,INCLUDE,"Current form supplies the value before prediction."
feed_type_classifier,ambient_temperature_c,Ambient_Temperature_C,ambientTemperatureC,ambientTemperatureC,number,true,true,true,true,SAFE,0,551,OPTIONAL_FEATURE,INCLUDE,"Current form supplies the value before prediction."
feed_type_classifier,humidity_percent,Humidity_percent,humidityPercent,humidityPercent,number,true,true,true,true,SAFE,0,901,OPTIONAL_FEATURE,INCLUDE,"Current form supplies the value before prediction."
feed_type_classifier,season,Season,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_type_classifier,climate_zone,Climate_Zone,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_type_classifier,management_system,Management_System,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_type_classifier,feed_type,Feed_Type,,,categorical,true,false,false,false,DEFINITE_LEAKAGE,0,8,TARGET,INCLUDE,"Synthetic feed-category target; never an input to its own model."
feed_type_classifier,feed_quantity_kg,Feed_Quantity_kg,,,number,true,false,false,false,POSSIBLE_LEAKAGE,0,221,EXCLUDED,EXCLUDE,"Same-record feed quantity may reveal or follow the feed category."
feed_type_classifier,milk_yield_l,Milk_Yield_L,,,number,true,false,false,false,POSSIBLE_LEAKAGE,0,3122,EXCLUDED,EXCLUDE,"Current synthetic outcome is not available before recommendation."
feed_type_classifier,disease_status,,,,categorical,false,false,false,false,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"Secondary-dataset outcome; absent from primary data and current request."
feed_quantity_regressor_design_a,animal_type,,species (selected record; not sent),,categorical,false,true,false,true,AVAILABILITY_MISMATCH,,,METADATA_ONLY,EXCLUDE,"Application scope metadata; no primary-dataset column and not predictive."
feed_quantity_regressor_design_a,cattle_id,Cattle_ID,animalId,animalId,string,true,true,true,true,POSSIBLE_LEAKAGE,0,250000,METADATA_ONLY,EXCLUDE,"Identifier may enable record or generated-batch memorisation."
feed_quantity_regressor_design_a,observation_date,Date,,,date,true,false,false,false,POSSIBLE_LEAKAGE,0,1095,METADATA_ONLY,EXCLUDE,"Not in the request and may encode generated collection batches."
feed_quantity_regressor_design_a,breed,Breed,breed,breed,categorical,true,true,true,true,SAFE,0,40,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_quantity_regressor_design_a,age_months,Age_Months,ageMonths,ageMonths,integer,true,true,true,true,SAFE,0,120,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_quantity_regressor_design_a,weight_kg,Weight_kg,weightKg,weightKg,number,true,true,true,true,SAFE,0,5001,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_quantity_regressor_design_a,parity,Parity,,,integer,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_a,health_status,,healthStatus,healthStatus,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"No equivalent primary-dataset feature; retain only for rule validation."
feed_quantity_regressor_design_a,lactation_stage,Lactation_Stage,lactationStage,lactationStage,categorical,true,true,true,true,SAFE,0,3,REQUIRED_FEATURE,INCLUDE,"Include with explicit Early/Mid/Late mapping; UI Dry remains unsupported."
feed_quantity_regressor_design_a,production_stage,,lactationStage (copied),productionStage,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,EXCLUDE,"Duplicate API value with no separate dataset column."
feed_quantity_regressor_design_a,days_in_milk,Days_in_Milk,daysInMilk,daysInMilk,integer,true,true,true,true,SAFE,0,364,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_a,previous_week_avg_yield_l,Previous_Week_Avg_Yield,previousWeekAvgYield,previousWeekAvgYield,number,true,true,true,true,SAFE,0,3163,OPTIONAL_FEATURE,INCLUDE,"Historical production value available before prediction."
feed_quantity_regressor_design_a,body_condition_score,Body_Condition_Score,bodyConditionScore,bodyConditionScore,number,true,true,true,true,SAFE,0,7,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_a,ambient_temperature_c,Ambient_Temperature_C,ambientTemperatureC,ambientTemperatureC,number,true,true,true,true,SAFE,0,551,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_a,humidity_percent,Humidity_percent,humidityPercent,humidityPercent,number,true,true,true,true,SAFE,0,901,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_a,season,Season,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_a,climate_zone,Climate_Zone,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_a,management_system,Management_System,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_a,feed_type,Feed_Type,,,categorical,true,false,false,false,POSSIBLE_LEAKAGE,0,8,EXCLUDED,EXCLUDE,"Design A does not use feed type."
feed_quantity_regressor_design_a,feed_quantity_kg,Feed_Quantity_kg,,,number,true,false,false,false,DEFINITE_LEAKAGE,0,221,TARGET,INCLUDE,"Synthetic feed-quantity target; never an input."
feed_quantity_regressor_design_a,milk_yield_l,Milk_Yield_L,,,number,true,false,false,false,POSSIBLE_LEAKAGE,0,3122,EXCLUDED,EXCLUDE,"Same-record outcome timing is undocumented and it is unavailable before prediction."
feed_quantity_regressor_design_a,disease_status,,,,categorical,false,false,false,false,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"Secondary-dataset outcome; absent from primary data and current request."
feed_quantity_regressor_design_b,animal_type,,species (selected record; not sent),,categorical,false,true,false,true,AVAILABILITY_MISMATCH,,,METADATA_ONLY,EXCLUDE,"Application scope metadata; no primary-dataset column and not predictive."
feed_quantity_regressor_design_b,cattle_id,Cattle_ID,animalId,animalId,string,true,true,true,true,POSSIBLE_LEAKAGE,0,250000,METADATA_ONLY,EXCLUDE,"Identifier may enable record or generated-batch memorisation."
feed_quantity_regressor_design_b,observation_date,Date,,,date,true,false,false,false,POSSIBLE_LEAKAGE,0,1095,METADATA_ONLY,EXCLUDE,"Not in the request and may encode generated collection batches."
feed_quantity_regressor_design_b,breed,Breed,breed,breed,categorical,true,true,true,true,SAFE,0,40,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_quantity_regressor_design_b,age_months,Age_Months,ageMonths,ageMonths,integer,true,true,true,true,SAFE,0,120,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_quantity_regressor_design_b,weight_kg,Weight_kg,weightKg,weightKg,number,true,true,true,true,SAFE,0,5001,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
feed_quantity_regressor_design_b,parity,Parity,,,integer,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_b,health_status,,healthStatus,healthStatus,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"No equivalent primary-dataset feature; retain only for rule validation."
feed_quantity_regressor_design_b,lactation_stage,Lactation_Stage,lactationStage,lactationStage,categorical,true,true,true,true,SAFE,0,3,REQUIRED_FEATURE,INCLUDE,"Include with explicit Early/Mid/Late mapping; UI Dry remains unsupported."
feed_quantity_regressor_design_b,production_stage,,lactationStage (copied),productionStage,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,EXCLUDE,"Duplicate API value with no separate dataset column."
feed_quantity_regressor_design_b,days_in_milk,Days_in_Milk,daysInMilk,daysInMilk,integer,true,true,true,true,SAFE,0,364,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_b,previous_week_avg_yield_l,Previous_Week_Avg_Yield,previousWeekAvgYield,previousWeekAvgYield,number,true,true,true,true,SAFE,0,3163,OPTIONAL_FEATURE,INCLUDE,"Historical production value available before prediction."
feed_quantity_regressor_design_b,body_condition_score,Body_Condition_Score,bodyConditionScore,bodyConditionScore,number,true,true,true,true,SAFE,0,7,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_b,ambient_temperature_c,Ambient_Temperature_C,ambientTemperatureC,ambientTemperatureC,number,true,true,true,true,SAFE,0,551,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_b,humidity_percent,Humidity_percent,humidityPercent,humidityPercent,number,true,true,true,true,SAFE,0,901,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
feed_quantity_regressor_design_b,season,Season,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_b,climate_zone,Climate_Zone,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_b,management_system,Management_System,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
feed_quantity_regressor_design_b,feed_type,Feed_Type,,,categorical,true,false,false,false,POSSIBLE_LEAKAGE,0,8,EXCLUDED,EXCLUDE,"Ground-truth feed type is forbidden at validation test and inference."
feed_quantity_regressor_design_b,predicted_feed_type,,Model 1 output,future recommendation service,categorical,false,false,false,true,SAFE,,8,REQUIRED_FEATURE,INCLUDE,"Must use out-of-fold Model 1 predictions in training and Model 1 output at inference."
feed_quantity_regressor_design_b,feed_quantity_kg,Feed_Quantity_kg,,,number,true,false,false,false,DEFINITE_LEAKAGE,0,221,TARGET,INCLUDE,"Synthetic feed-quantity target; never an input."
feed_quantity_regressor_design_b,milk_yield_l,Milk_Yield_L,,,number,true,false,false,false,POSSIBLE_LEAKAGE,0,3122,EXCLUDED,EXCLUDE,"Same-record outcome timing is undocumented and it is unavailable before prediction."
feed_quantity_regressor_design_b,disease_status,,,,categorical,false,false,false,false,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"Secondary-dataset outcome; absent from primary data and current request."
milk_yield_regressor,animal_type,,species (selected record; not sent),,categorical,false,true,false,true,AVAILABILITY_MISMATCH,,,METADATA_ONLY,EXCLUDE,"Application scope metadata; no primary-dataset column and not predictive."
milk_yield_regressor,cattle_id,Cattle_ID,animalId,animalId,string,true,true,true,true,POSSIBLE_LEAKAGE,0,250000,METADATA_ONLY,EXCLUDE,"Identifier may enable record or generated-batch memorisation."
milk_yield_regressor,observation_date,Date,,,date,true,false,false,false,POSSIBLE_LEAKAGE,0,1095,METADATA_ONLY,EXCLUDE,"Not in the request and may encode generated collection batches."
milk_yield_regressor,breed,Breed,breed,breed,categorical,true,true,true,true,SAFE,0,40,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
milk_yield_regressor,age_months,Age_Months,ageMonths,ageMonths,integer,true,true,true,true,SAFE,0,120,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
milk_yield_regressor,weight_kg,Weight_kg,weightKg,weightKg,number,true,true,true,true,SAFE,0,5001,REQUIRED_FEATURE,INCLUDE,"Present in the primary dataset and current request before prediction."
milk_yield_regressor,parity,Parity,,,integer,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
milk_yield_regressor,health_status,,healthStatus,healthStatus,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"No equivalent primary-dataset feature; retain only for rule validation."
milk_yield_regressor,lactation_stage,Lactation_Stage,lactationStage,lactationStage,categorical,true,true,true,true,SAFE,0,3,REQUIRED_FEATURE,INCLUDE,"Include with explicit Early/Mid/Late mapping; UI Dry remains unsupported."
milk_yield_regressor,production_stage,,lactationStage (copied),productionStage,categorical,false,true,true,true,AVAILABILITY_MISMATCH,,,EXCLUDED,EXCLUDE,"Duplicate API value with no separate dataset column."
milk_yield_regressor,days_in_milk,Days_in_Milk,daysInMilk,daysInMilk,integer,true,true,true,true,SAFE,0,364,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
milk_yield_regressor,previous_week_avg_yield_l,Previous_Week_Avg_Yield,previousWeekAvgYield,previousWeekAvgYield,number,true,true,true,true,SAFE,0,3163,OPTIONAL_FEATURE,INCLUDE,"Lagged historical value available before prediction; never substitute current target."
milk_yield_regressor,body_condition_score,Body_Condition_Score,bodyConditionScore,bodyConditionScore,number,true,true,true,true,SAFE,0,7,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
milk_yield_regressor,ambient_temperature_c,Ambient_Temperature_C,ambientTemperatureC,ambientTemperatureC,number,true,true,true,true,SAFE,0,551,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
milk_yield_regressor,humidity_percent,Humidity_percent,humidityPercent,humidityPercent,number,true,true,true,true,SAFE,0,901,OPTIONAL_FEATURE,INCLUDE,"Available before prediction."
milk_yield_regressor,season,Season,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
milk_yield_regressor,climate_zone,Climate_Zone,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,6,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
milk_yield_regressor,management_system,Management_System,,,categorical,true,false,false,false,AVAILABILITY_MISMATCH,0,5,OPTIONAL_FEATURE,NOT_AVAILABLE,"Dataset field is not supplied by the current application."
milk_yield_regressor,feed_type,Feed_Type,,,categorical,true,false,false,false,POSSIBLE_LEAKAGE,0,8,EXCLUDED,EXCLUDE,"Prediction-time and causal timing are not justified."
milk_yield_regressor,feed_quantity_kg,Feed_Quantity_kg,,,number,true,false,false,false,POSSIBLE_LEAKAGE,0,221,EXCLUDED,EXCLUDE,"Same-record feed target is unavailable before prediction and timing is unclear."
milk_yield_regressor,milk_yield_l,Milk_Yield_L,,,number,true,false,false,false,DEFINITE_LEAKAGE,0,3122,TARGET,INCLUDE,"Synthetic milk-yield target; never an input."
milk_yield_regressor,disease_status,,,,categorical,false,false,false,false,AVAILABILITY_MISMATCH,,,EXCLUDED,NOT_AVAILABLE,"Secondary-dataset outcome; absent from primary data and current request."
